"";"Sigla";"Codigo";"Estado"
"1";"AC";"12";"Acre"
"2";"AL";"27";"Alagoas"
"3";"AM";"13";"Amazonas"
"4";"AP";"16";"Amapá"
"5";"BA";"29";"Bahia"
"6";"CE";"23";"Ceará"
"7";"DF";"53";"Distrito Federal"
"8";"ES";"32";"Espírito Santo"
"9";"GO";"52";"Goiás"
"10";"MA";"21";"Maranhão"
"11";"MG";"31";"Minas Gerais"
"12";"MS";"50";"Mato Grosso do Sul"
"13";"MT";"51";"Mato Grosso"
"14";"PA";"15";"Pará"
"15";"PB";"25";"Paraíba"
"16";"PE";"26";"Pernambuco"
"17";"PI";"22";"Piauí"
"18";"PR";"41";"Paraná"
"19";"RJ";"33";"Rio de Janeiro"
"20";"RN";"24";"Rio Grande do Norte"
"21";"RO";"11";"Rondônia"
"22";"RR";"14";"Roraima"
"23";"RS";"43";"Rio Grande do Sul"
"24";"SC";"42";"Santa Catarina"
"25";"SE";"28";"Sergipe"
"26";"SP";"35";"São Paulo"
"27";"TO";"17";"Tocantins"
